ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CITY,STATE,COUNTRY,TERRITORY,DEALSIZE
10163,21,100,1,4860.24,20 October 2003,Shipped,4,10,2003,Classic Cars,214,S10_1949,NYC,NY,USA,,Medium
10174,34,100,4,8014.82,11 June 2003,Shipped,4,11,2003,Classic Cars,214,S10_1949,South Brisbane,Queensland,Australia,APAC,Large
10183,23,100,8,5372.57,13 November 2003,Shipped,4,11,2003,Classic Cars,214,S10_1949,Philadelphia,PA,USA,,Medium
10194,42,100,11,7290.36,25 November 2003,Shipped,4,11,2003,Classic Cars,214,S10_1949,Lyon,,France,EMEA,Large
10206,47,100,6,9064.89,12 May 2003,Shipped,4,12,2003,Classic Cars,214,S10_1949,Vancouver,BC,Canada,,Large
10215,35,100,3,6075.3,29 January 2004,Shipped,1,1,2004,Classic Cars,214,S10_1949,Burbank,CA,USA,,Medium
10228,29,100,2,6463.23,03 October 2004,Shipped,1,3,2004,Classic Cars,214,S10_1949,Cambridge,MA,USA,,Medium
10245,34,100,9,6120.34,05 April 2004,Shipped,2,5,2004,Classic Cars,214,S10_1949,New Haven,CT,USA,,Medium
10258,32,100,6,7680.64,15 June 2004,Shipped,2,6,2004,Classic Cars,214,S10_1949,Minato-ku,Tokyo,Japan,Japan,Large
10270,21,100,9,4905.39,19 July 2004,Shipped,3,7,2004,Classic Cars,214,S10_1949,Chatswood,NSW,Australia,APAC,Medium
10280,34,100,2,8014.82,17 August 2004,Shipped,3,8,2004,Classic Cars,214,S10_1949,Torino,,Italy,EMEA,Large
10291,37,100,11,7136.19,09 August 2004,Shipped,3,9,2004,Classic Cars,214,S10_1949,Boras,,Sweden,EMEA,Large
10304,47,100,6,10172.7,10 November 2004,Shipped,4,10,2004,Classic Cars,214,S10_1949,Versailles,,France,EMEA,Large
10312,48,100,3,11623.7,21 October 2004,Shipped,4,10,2004,Classic Cars,214,S10_1949,San Rafael,CA,USA,,Large
10322,40,100,1,6000.4,11 April 2004,Shipped,4,11,2004,Classic Cars,214,S10_1949,Nashua,NH,USA,,Medium
10333,26,100,3,3003,18 November 2004,Shipped,4,11,2004,Classic Cars,214,S10_1949,San Francisco,CA,USA,,Medium
10347,30,100,1,3944.7,29 November 2004,Shipped,4,11,2004,Classic Cars,214,S10_1949,Melbourne,Victoria,Australia,APAC,Medium
10357,32,100,10,5691.84,12 October 2004,Shipped,4,12,2004,Classic Cars,214,S10_1949,San Rafael,CA,USA,,Medium
10369,41,100,2,4514.92,20 January 2005,Shipped,1,1,2005,Classic Cars,214,S10_1949,Brickhaven,MA,USA,,Medium
10381,36,100,3,8254.8,17 February 2005,Shipped,1,2,2005,Classic Cars,214,S10_1949,San Francisco,CA,USA,,Large
10391,24,100,4,2416.56,03 September 2005,Shipped,1,3,2005,Classic Cars,214,S10_1949,North Sydney,NSW,Australia,APAC,Small
10411,23,100,9,4140.23,05 January 2005,Shipped,2,5,2005,Classic Cars,214,S10_1949,Montreal,Quebec,Canada,,Medium
10424,50,100,6,12001,31 May 2005,In Process,2,5,2005,Classic Cars,214,S10_1949,Madrid,,Spain,EMEA,Large
10107,39,99.91,5,3896.49,24 February 2003,Shipped,1,2,2003,Motorcycles,118,S10_2016,NYC,NY,USA,,Medium
10120,29,96.34,3,2793.86,29 April 2003,Shipped,2,4,2003,Motorcycles,118,S10_2016,Melbourne,Victoria,Australia,APAC,Small
10134,27,100,5,3307.77,07 January 2003,Shipped,3,7,2003,Motorcycles,118,S10_2016,Paris,,France,EMEA,Medium
10145,37,100,9,5192.95,25 August 2003,Shipped,3,8,2003,Motorcycles,118,S10_2016,Pasadena,CA,USA,,Medium
10159,37,100,17,5016.83,10 October 2003,Shipped,4,10,2003,Motorcycles,118,S10_2016,San Francisco,CA,USA,,Medium
10168,27,100,4,3660.93,28 October 2003,Shipped,4,10,2003,Motorcycles,118,S10_2016,Burlingame,CA,USA,,Medium
10180,42,100,12,4695.6,11 November 2003,Shipped,4,11,2003,Motorcycles,118,S10_2016,Lille,,France,EMEA,Medium
10188,38,96.34,4,3660.92,18 November 2003,Shipped,4,11,2003,Motorcycles,118,S10_2016,Bergen,,Norway,EMEA,Medium
10201,24,100,5,3025.92,12 January 2003,Shipped,4,12,2003,Motorcycles,118,S10_2016,San Francisco,CA,USA,,Medium
10210,23,100,2,3009.09,01 December 2004,Shipped,1,1,2004,Motorcycles,118,S10_2016,Osaka,Osaka,Japan,Japan,Medium
10223,47,100,4,5422.39,20 February 2004,Shipped,1,2,2004,Motorcycles,118,S10_2016,Melbourne,Victoria,Australia,APAC,Medium
10236,22,100,1,2852.08,04 March 2004,Shipped,2,4,2004,Motorcycles,118,S10_2016,Philadelphia,PA,USA,,Small
10251,44,100,5,5756.52,18 May 2004,Shipped,2,5,2004,Motorcycles,118,S10_2016,Newark,NJ,USA,,Medium
10263,40,100,5,4472,28 June 2004,Shipped,2,6,2004,Motorcycles,118,S10_2016,Bridgewater,CT,USA,,Medium
10275,22,100,4,2904.44,23 July 2004,Shipped,3,7,2004,Motorcycles,118,S10_2016,Nantes,,France,EMEA,Small
10285,47,100,9,6484.59,27 August 2004,Shipped,3,8,2004,Motorcycles,118,S10_2016,Cambridge,MA,USA,,Medium
10298,39,96.34,1,3757.26,27 September 2004,Shipped,3,9,2004,Motorcycles,118,S10_2016,Nantes,,France,EMEA,Medium
10308,34,100,2,4043.96,15 October 2004,Shipped,4,10,2004,Motorcycles,118,S10_2016,White Plains,NY,USA,,Medium
10318,45,100,4,5566.5,11 February 2004,Shipped,4,11,2004,Motorcycles,118,S10_2016,Allentown,PA,USA,,Medium
10329,20,100,2,3176,15 November 2004,Shipped,4,11,2004,Motorcycles,118,S10_2016,NYC,NY,USA,,Medium
10339,40,68.92,4,2756.8,23 November 2004,Shipped,4,11,2004,Motorcycles,118,S10_2016,Minato-ku,Tokyo,Japan,Japan,Small
10361,26,51.15,8,1329.9,17 December 2004,Shipped,4,12,2004,Motorcycles,118,S10_2016,Chatswood,NSW,Australia,APAC,Small
10374,39,100,5,5288.01,02 February 2005,Shipped,1,2,2005,Motorcycles,118,S10_2016,South Brisbane,Queensland,Australia,APAC,Medium
10388,50,44.51,5,2225.5,03 March 2005,Shipped,1,3,2005,Motorcycles,118,S10_2016,New Bedford,MA,USA,,Small
10402,45,100,1,5833.8,04 July 2005,Shipped,2,4,2005,Motorcycles,118,S10_2016,Paris,,France,EMEA,Medium
10417,45,100,5,5887.35,13 May 2005,Disputed,2,5,2005,Motorcycles,118,S10_2016,Madrid,,Spain,EMEA,Medium
10107,27,100,4,6065.55,24 February 2003,Shipped,1,2,2003,Motorcycles,193,S10_4698,NYC,NY,USA,,Medium
10120,46,100,2,9264.86,29 April 2003,Shipped,2,4,2003,Motorcycles,193,S10_4698,Melbourne,Victoria,Australia,APAC,Large
10134,31,100,4,7023.98,07 January 2003,Shipped,3,7,2003,Motorcycles,193,S10_4698,Paris,,France,EMEA,Large
10145,33,100,8,5176.38,25 August 2003,Shipped,3,8,2003,Motorcycles,193,S10_4698,Pasadena,CA,USA,,Medium
10159,22,100,16,4132.7,10 October 2003,Shipped,4,10,2003,Motorcycles,193,S10_4698,San Francisco,CA,USA,,Medium
10168,20,100,3,4183,28 October 2003,Shipped,4,10,2003,Motorcycles,193,S10_4698,Burlingame,CA,USA,,Medium
10180,41,100,11,8892.9,11 November 2003,Shipped,4,11,2003,Motorcycles,193,S10_4698,Lille,,France,EMEA,Large
10188,45,100,3,8714.7,18 November 2003,Shipped,4,11,2003,Motorcycles,193,S10_4698,Bergen,,Norway,EMEA,Large
10201,49,100,4,8065.89,12 January 2003,Shipped,4,12,2003,Motorcycles,193,S10_4698,San Francisco,CA,USA,,Large
10210,34,100,1,6123.4,01 December 2004,Shipped,1,1,2004,Motorcycles,193,S10_4698,Osaka,Osaka,Japan,Japan,Medium
10223,49,100,3,9774.03,20 February 2004,Shipped,1,2,2004,Motorcycles,193,S10_4698,Melbourne,Victoria,Australia,APAC,Large
10237,39,100,9,7023.9,04 May 2004,Shipped,2,4,2004,Motorcycles,193,S10_4698,NYC,NY,USA,,Large
10251,43,100,4,7078.23,18 May 2004,Shipped,2,5,2004,Motorcycles,193,S10_4698,Newark,NJ,USA,,Large
10263,41,100,4,8336.94,28 June 2004,Shipped,2,6,2004,Motorcycles,193,S10_4698,Bridgewater,CT,USA,,Large
10275,36,100,3,6901.92,23 July 2004,Shipped,3,7,2004,Motorcycles,193,S10_4698,Nantes,,France,EMEA,Medium
10285,27,100,8,5438.07,27 August 2004,Shipped,3,8,2004,Motorcycles,193,S10_4698,Cambridge,MA,USA,,Medium
10299,29,100,11,6683.34,30 September 2004,Shipped,3,9,2004,Motorcycles,193,S10_4698,Helsinki,,Finland,EMEA,Medium
10308,20,100,1,4570.4,15 October 2004,Shipped,4,10,2004,Motorcycles,193,S10_4698,White Plains,NY,USA,,Medium
10318,37,100,3,7667.14,11 February 2004,Shipped,4,11,2004,Motorcycles,193,S10_4698,Allentown,PA,USA,,Large
10329,26,100,3,5868.2,15 November 2004,Shipped,4,11,2004,Motorcycles,193,S10_4698,NYC,NY,USA,,Medium
10339,39,76.67,3,2990.13,23 November 2004,Shipped,4,11,2004,Motorcycles,193,S10_4698,Minato-ku,Tokyo,Japan,Japan,Small
10362,22,100,4,3664.1,01 May 2005,Shipped,1,1,2005,Motorcycles,193,S10_4698,Burlingame,CA,USA,,Medium
10374,22,100,1,3834.38,02 February 2005,Shipped,1,2,2005,Motorcycles,193,S10_4698,South Brisbane,Queensland,Australia,APAC,Medium
10388,21,86.77,7,1822.17,03 March 2005,Shipped,1,3,2005,Motorcycles,193,S10_4698,New Bedford,MA,USA,,Small
10403,66,100,9,11886.6,04 August 2005,Shipped,2,4,2005,Motorcycles,193,S10_4698,Liverpool,,UK,EMEA,Large
10417,56,100,4,9218.16,13 May 2005,Disputed,2,5,2005,Motorcycles,193,S10_4698,Madrid,,Spain,EMEA,Large
10105,50,100,2,7208,02 November 2003,Shipped,1,2,2003,Classic Cars,136,S10_4757,Kobenhavn,,Denmark,EMEA,Large
10119,46,100,11,5004.8,28 April 2003,Shipped,2,4,2003,Classic Cars,136,S10_4757,Salzburg,,Austria,EMEA,Medium
10129,33,100,2,4398.24,06 December 2003,Shipped,2,6,2003,Classic Cars,136,S10_4757,London,,UK,EMEA,Medium
10143,49,100,15,5597.76,08 October 2003,Shipped,3,8,2003,Classic Cars,136,S10_4757,New Bedford,MA,USA,,Medium
10155,32,100,13,4526.08,10 June 2003,Shipped,4,10,2003,Classic Cars,136,S10_4757,Helsinki,,Finland,EMEA,Medium
10167,44,100,9,5924.16,23 October 2003,Cancelled,4,10,2003,Classic Cars,136,S10_4757,Boras,,Sweden,EMEA,Medium
10178,24,100,12,3492.48,11 August 2003,Shipped,4,11,2003,Classic Cars,136,S10_4757,Toulouse,,France,EMEA,Medium
10186,26,100,9,3854.24,14 November 2003,Shipped,4,11,2003,Classic Cars,136,S10_4757,London,,UK,EMEA,Medium
10197,45,100,6,5324.4,26 November 2003,Shipped,4,11,2003,Classic Cars,136,S10_4757,Barcelona,,Spain,EMEA,Medium
10209,39,100,8,5197.92,01 September 2004,Shipped,1,1,2004,Classic Cars,136,S10_4757,Los Angeles,CA,USA,,Medium
10222,49,100,12,5997.6,19 February 2004,Shipped,1,2,2004,Classic Cars,136,S10_4757,San Diego,CA,USA,,Medium
10248,20,100,3,2910.4,05 July 2004,Cancelled,2,5,2004,Classic Cars,136,S10_4757,NYC,NY,USA,,Small
10261,27,100,1,3378.24,17 June 2004,Shipped,2,6,2004,Classic Cars,136,S10_4757,Montreal,Quebec,Canada,,Medium
10273,30,100,4,3508.8,21 July 2004,Shipped,3,7,2004,Classic Cars,136,S10_4757,Bruxelles,,Belgium,EMEA,Medium
10283,25,100,6,2992,20 August 2004,Shipped,3,8,2004,Classic Cars,136,S10_4757,Tsawassen,BC,Canada,,Small
10295,24,100,1,3427.2,09 October 2004,Shipped,3,9,2004,Classic Cars,136,S10_4757,Boston,MA,USA,,Medium
10307,22,100,9,2692.8,14 October 2004,Shipped,4,10,2004,Classic Cars,136,S10_4757,Philadelphia,PA,USA,,Small
10316,33,100,17,4128.96,11 January 2004,Shipped,4,11,2004,Classic Cars,136,S10_4757,Cowes,Isle of Wight,UK,EMEA,Medium
10325,47,64.93,6,3051.71,11 May 2004,Shipped,4,11,2004,Classic Cars,136,S10_4757,Stavern,,Norway,EMEA,Medium
10337,25,48.05,8,1201.25,21 November 2004,Shipped,4,11,2004,Classic Cars,136,S10_4757,NYC,NY,USA,,Small
10350,26,75.47,5,1962.22,12 February 2004,Shipped,4,12,2004,Classic Cars,136,S10_4757,Madrid,,Spain,EMEA,Small
10359,48,54.68,6,2624.64,15 December 2004,Shipped,4,12,2004,Classic Cars,136,S10_4757,Reims,,France,EMEA,Small
10373,39,100,3,4046.25,31 January 2005,Shipped,1,1,2005,Classic Cars,136,S10_4757,Oulu,,Finland,EMEA,Medium
10384,34,100,4,4846.7,23 February 2005,Shipped,1,2,2005,Classic Cars,136,S10_4757,San Francisco,CA,USA,,Medium
10395,32,100,2,3370.56,17 March 2005,Shipped,1,3,2005,Classic Cars,136,S10_4757,Paris,,France,EMEA,Medium
10400,64,100,9,9661.44,04 January 2005,Shipped,2,4,2005,Classic Cars,136,S10_4757,San Jose,CA,USA,,Large
10414,19,100,3,2764.88,05 June 2005,On Hold,2,5,2005,Classic Cars,136,S10_4757,Boston,MA,USA,,Small
10103,42,100,4,5398.26,29 January 2003,Shipped,1,1,2003,Classic Cars,147,S10_4962,Stavern,,Norway,EMEA,Medium
10114,31,100,8,4305.28,04 January 2003,Shipped,2,4,2003,Classic Cars,147,S10_4962,Paris,,France,EMEA,Medium
10126,22,100,4,3347.74,28 May 2003,Shipped,2,5,2003,Classic Cars,147,S10_4962,Madrid,,Spain,EMEA,Medium
10140,26,100,4,3188.12,24 July 2003,Shipped,3,7,2003,Classic Cars,147,S10_4962,Burlingame,CA,USA,,Medium
10150,20,100,1,3191.2,19 September 2003,Shipped,3,9,2003,Classic Cars,147,S10_4962,Singapore,,Singapore,Japan,Medium
10164,21,100,2,3536.82,21 October 2003,Resolved,4,10,2003,Classic Cars,147,S10_4962,Graz,,Austria,EMEA,Medium
10175,33,100,9,5362.83,11 June 2003,Shipped,4,11,2003,Classic Cars,147,S10_4962,London,,UK,EMEA,Medium
10183,28,100,1,3433.36,13 November 2003,Shipped,4,11,2003,Classic Cars,147,S10_4962,Philadelphia,PA,USA,,Medium
10194,26,100,4,4263.74,25 November 2003,Shipped,4,11,2003,Classic Cars,147,S10_4962,Lyon,,France,EMEA,Medium
10207,31,100,15,4076.19,12 September 2003,Shipped,4,12,2003,Classic Cars,147,S10_4962,Boston,MA,USA,,Medium
10217,48,100,4,7020.48,02 April 2004,Shipped,1,2,2004,Classic Cars,147,S10_4962,Singapore,,Singapore,APAC,Large
10229,50,100,9,6426.5,03 November 2004,Shipped,1,3,2004,Classic Cars,147,S10_4962,San Rafael,CA,USA,,Medium
10245,28,100,2,4591.72,05 April 2004,Shipped,2,5,2004,Classic Cars,147,S10_4962,New Haven,CT,USA,,Medium
10259,26,100,12,4033.38,15 June 2004,Shipped,2,6,2004,Classic Cars,147,S10_4962,Singapore,,Singapore,APAC,Medium
10270,32,100,2,4302.08,19 July 2004,Shipped,3,7,2004,Classic Cars,147,S10_4962,Chatswood,NSW,Australia,APAC,Medium
10281,44,100,9,7020.64,19 August 2004,Shipped,3,8,2004,Classic Cars,147,S10_4962,Allentown,PA,USA,,Large
10291,30,100,4,3855.9,09 August 2004,Shipped,3,9,2004,Classic Cars,147,S10_4962,Boras,,Sweden,EMEA,Medium
10305,38,100,13,6680.78,13 October 2004,Shipped,4,10,2004,Classic Cars,147,S10_4962,Cambridge,MA,USA,,Medium
10313,40,100,7,6678,22 October 2004,Shipped,4,10,2004,Classic Cars,147,S10_4962,Vancouver,BC,Canada,,Medium
10322,46,61.99,8,2851.54,11 April 2004,Shipped,4,11,2004,Classic Cars,147,S10_4962,Nashua,NH,USA,,Small
10334,26,100,2,3188.12,19 November 2004,On Hold,4,11,2004,Classic Cars,147,S10_4962,Lule,,Sweden,EMEA,Medium
10347,27,100,2,4428,29 November 2004,Shipped,4,11,2004,Classic Cars,147,S10_4962,Melbourne,Victoria,Australia,APAC,Medium
10357,43,100,9,5780.92,12 October 2004,Shipped,4,12,2004,Classic Cars,147,S10_4962,San Rafael,CA,USA,,Medium
10370,35,65.63,4,2297.05,20 January 2005,Shipped,1,1,2005,Classic Cars,147,S10_4962,North Sydney,NSW,Australia,APAC,Small
10381,37,100,6,6231.54,17 February 2005,Shipped,1,2,2005,Classic Cars,147,S10_4962,San Francisco,CA,USA,,Medium
10391,37,46.9,7,1735.3,03 September 2005,Shipped,1,3,2005,Classic Cars,147,S10_4962,North Sydney,NSW,Australia,APAC,Small
10411,27,100,2,4427.73,05 January 2005,Shipped,2,5,2005,Classic Cars,147,S10_4962,Montreal,Quebec,Canada,,Medium
10425,38,100,12,5894.94,31 May 2005,In Process,2,5,2005,Classic Cars,147,S10_4962,Nantes,,France,EMEA,Medium
10108,33,100,6,5265.15,03 March 2003,Shipped,1,3,2003,Classic Cars,194,S12_1099,Makati City,,Philippines,Japan,Medium
10122,42,100,10,7599.9,05 August 2003,Shipped,2,5,2003,Classic Cars,194,S12_1099,Marseille,,France,EMEA,Large
10135,42,100,7,8008.56,07 February 2003,Shipped,3,7,2003,Classic Cars,194,S12_1099,San Rafael,CA,USA,,Large
10147,48,100,7,9245.76,09 May 2003,Shipped,3,9,2003,Classic Cars,194,S12_1099,Brickhaven,MA,USA,,Large
10159,41,100,2,8296.35,10 October 2003,Shipped,4,10,2003,Classic Cars,194,S12_1099,San Francisco,CA,USA,,Large
10169,30,100,2,5019.9,11 April 2003,Shipped,4,11,2003,Classic Cars,194,S12_1099,North Sydney,NSW,Australia,APAC,Medium
10181,27,100,14,5411.07,11 December 2003,Shipped,4,11,2003,Classic Cars,194,S12_1099,Bergen,,Norway,EMEA,Medium
10191,21,100,3,3840.9,20 November 2003,Shipped,4,11,2003,Classic Cars,194,S12_1099,Koln,,Germany,EMEA,Medium
10203,20,100,8,3930.4,12 February 2003,Shipped,4,12,2003,Classic Cars,194,S12_1099,Madrid,,Spain,EMEA,Medium
10211,41,100,2,7498.9,15 January 2004,Shipped,1,1,2004,Classic Cars,194,S12_1099,Paris,,France,EMEA,Large
10225,27,100,9,4517.91,22 February 2004,Shipped,1,2,2004,Classic Cars,194,S12_1099,Gensve,,Switzerland,EMEA,Medium
10238,28,100,3,5774.72,04 September 2004,Shipped,2,4,2004,Classic Cars,194,S12_1099,Kobenhavn,,Denmark,EMEA,Medium
10253,24,100,13,3922.56,06 January 2004,Cancelled,2,6,2004,Classic Cars,194,S12_1099,Liverpool,,UK,EMEA,Medium
10266,44,100,14,9160.36,07 June 2004,Shipped,3,7,2004,Classic Cars,194,S12_1099,Reggio Emilia,,Italy,EMEA,Large
10276,50,100,3,9631,08 February 2004,Shipped,3,8,2004,Classic Cars,194,S12_1099,Brickhaven,MA,USA,,Large
10287,21,100,12,3432.24,30 August 2004,Shipped,3,8,2004,Classic Cars,194,S12_1099,Gensve,,Switzerland,EMEA,Medium
10300,33,100,5,5521.89,10 April 2003,Shipped,4,10,2003,Classic Cars,194,S12_1099,Frankfurt,,Germany,EMEA,Medium
10310,33,100,10,6934.62,16 October 2004,Shipped,4,10,2004,Classic Cars,194,S12_1099,Koln,,Germany,EMEA,Medium
10320,31,100,3,6876.11,11 March 2004,Shipped,4,11,2004,Classic Cars,194,S12_1099,Lule,,Sweden,EMEA,Medium
10329,41,71.47,5,2930.27,15 November 2004,Shipped,4,11,2004,Classic Cars,194,S12_1099,NYC,NY,USA,,Small
10341,45,79.65,2,3584.25,24 November 2004,Shipped,4,11,2004,Classic Cars,194,S12_1099,Salzburg,,Austria,EMEA,Medium
10363,33,85.39,3,2817.87,01 June 2005,Shipped,1,1,2005,Classic Cars,194,S12_1099,Espoo,,Finland,EMEA,Small
10375,45,76,7,3420,02 March 2005,Shipped,1,2,2005,Classic Cars,194,S12_1099,Nantes,,France,EMEA,Medium
10389,26,99.04,4,2575.04,03 March 2005,Shipped,1,3,2005,Classic Cars,194,S12_1099,Boras,,Sweden,EMEA,Small
10419,12,100,13,1961.28,17 May 2005,Shipped,2,5,2005,Classic Cars,194,S12_1099,Salzburg,,Austria,EMEA,Small
10105,41,100,15,8690.36,02 November 2003,Shipped,1,2,2003,Classic Cars,207,S12_1108,Kobenhavn,,Denmark,EMEA,Large
10117,33,100,9,6034.38,16 April 2003,Shipped,2,4,2003,Classic Cars,207,S12_1108,Singapore,,Singapore,Japan,Medium
10127,46,100,2,11279.2,06 March 2003,Shipped,2,6,2003,Classic Cars,207,S12_1108,NYC,NY,USA,,Large
10142,33,100,12,8023.29,08 August 2003,Shipped,3,8,2003,Classic Cars,207,S12_1108,San Rafael,CA,USA,,Large
10153,20,100,11,4904,28 September 2003,Shipped,3,9,2003,Classic Cars,207,S12_1108,Madrid,,Spain,EMEA,Medium
10165,44,100,3,8594.52,22 October 2003,Shipped,4,10,2003,Classic Cars,207,S12_1108,Singapore,,Singapore,Japan,Large
10176,33,100,2,7474.5,11 June 2003,Shipped,4,11,2003,Classic Cars,207,S12_1108,Reggio Emilia,,Italy,EMEA,Large
10185,21,100,13,3883.74,14 November 2003,Shipped,4,11,2003,Classic Cars,207,S12_1108,New Bedford,MA,USA,,Medium
10196,47,100,5,8887.7,26 November 2003,Shipped,4,11,2003,Classic Cars,207,S12_1108,New Haven,CT,USA,,Large
10208,46,100,13,8602.92,01 February 2004,Shipped,1,1,2004,Classic Cars,207,S12_1108,Lyon,,France,EMEA,Large
10220,32,100,2,7181.44,02 December 2004,Shipped,1,2,2004,Classic Cars,207,S12_1108,Dublin,,Ireland,EMEA,Large
10231,42,100,2,8378.58,19 March 2004,Shipped,1,3,2004,Classic Cars,207,S12_1108,Madrid,,Spain,EMEA,Large
10247,44,100,2,10606.2,05 May 2004,Shipped,2,5,2004,Classic Cars,207,S12_1108,Espoo,,Finland,EMEA,Large
10272,35,100,2,5818.4,20 July 2004,Shipped,3,7,2004,Classic Cars,207,S12_1108,Allentown,PA,USA,,Medium
10282,41,100,5,7071.27,20 August 2004,Shipped,3,8,2004,Classic Cars,207,S12_1108,San Rafael,CA,USA,,Large
10293,46,100,8,8411.56,09 September 2004,Shipped,3,9,2004,Classic Cars,207,S12_1108,Torino,,Italy,EMEA,Large
10306,31,100,13,6570.76,14 October 2004,Shipped,4,10,2004,Classic Cars,207,S12_1108,Manchester,,UK,EMEA,Medium
10314,38,100,5,7975.44,22 October 2004,Shipped,4,10,2004,Classic Cars,207,S12_1108,Aaarhus,,Denmark,EMEA,Large
10325,42,64,8,2688,11 May 2004,Shipped,4,11,2004,Classic Cars,207,S12_1108,Stavern,,Norway,EMEA,Small
10336,33,57.22,10,1888.26,20 November 2004,Shipped,4,11,2004,Classic Cars,207,S12_1108,Paris,,France,EMEA,Small
10348,48,52.36,8,2513.28,11 January 2004,Shipped,4,11,2004,Classic Cars,207,S12_1108,Madrid,,Spain,EMEA,Small
